ohrc_product_id,tmc2_product_id,ohrc_img_path,tmc2_img_path,ohrc_geometry_csv,tmc2_geometry_csv,ohrc_width,ohrc_height,tmc2_width,tmc2_height,ohrc_dtype,tmc2_dtype,ohrc_resolution_m,tmc2_resolution_m,resolution_ratio,tmc2_points_inside,tmc2_points_near,overlap_fraction,region,pair_id
ch2_ohr_ncp_20200825T1127278043_d_img_d18,ch2_tmc_ncn_20220112T1102281958_d_img_d32,dataset/pradan_downloads/ohrc/ch2_ohr_ncp_20200825T1127278043_d_img_d18/data/calibrated/20200825/ch2_ohr_ncp_20200825T1127278043_d_img_d18.img,dataset/pradan_downloads/tmc-2/ch2_tmc_ncn_20220112T1102281958_d_img_d32/data/calibrated/20220112/ch2_tmc_ncn_20220112T1102281958_d_img_d32.img,dataset/pradan_downloads/ohrc/ch2_ohr_ncp_20200825T1127278043_d_img_d18/geometry/calibrated/20200825/ch2_ohr_ncp_20200825T1127278043_g_grd_d18.csv,dataset/pradan_downloads/tmc-2/ch2_tmc_ncn_20220112T1102281958_d_img_d32/geometry/calibrated/20220112/ch2_tmc_ncn_20220112T1102281958_g_grd_d32.csv,12000,93693,4000,276917,uint8,uint16,0.25,4.48,17.92,420,9457,0.08324,South_Polar_41E,pair_001
ch2_ohr_ncp_20200825T1521048453_d_img_d18,ch2_tmc_ncn_20220112T1102281958_d_img_d32,dataset/pradan_downloads/ohrc/ch2_ohr_ncp_20200825T1521048453_d_img_d18/data/calibrated/20200825/ch2_ohr_ncp_20200825T1521048453_d_img_d18.img,dataset/pradan_downloads/tmc-2/ch2_tmc_ncn_20220112T1102281958_d_img_d32/data/calibrated/20220112/ch2_tmc_ncn_20220112T1102281958_d_img_d32.img,dataset/pradan_downloads/ohrc/ch2_ohr_ncp_20200825T1521048453_d_img_d18/geometry/calibrated/20200825/ch2_ohr_ncp_20200825T1521048453_g_grd_d18.csv,dataset/pradan_downloads/tmc-2/ch2_tmc_ncn_20220112T1102281958_d_img_d32/geometry/calibrated/20220112/ch2_tmc_ncn_20220112T1102281958_g_grd_d32.csv,12000,93692,4000,276917,uint8,uint16,0.25,4.48,17.92,510,9456,0.083231,South_Polar_41E,pair_002
ch2_ohr_ncp_20200825T1322594314_d_img_d18,ch2_tmc_ncn_20220112T1300186367_d_img_d32,dataset/pradan_downloads/ohrc/ch2_ohr_ncp_20200825T1322594314_d_img_d18/data/calibrated/20200825/ch2_ohr_ncp_20200825T1322594314_d_img_d18.img,dataset/pradan_downloads/tmc-2/ch2_tmc_ncn_20220112T1300186367_d_img_d32/data/calibrated/20220112/ch2_tmc_ncn_20220112T1300186367_d_img_d32.img,dataset/pradan_downloads/ohrc/ch2_ohr_ncp_20200825T1322594314_d_img_d18/geometry/calibrated/20200825/ch2_ohr_ncp_20200825T1322594314_g_grd_d18.csv,dataset/pradan_downloads/tmc-2/ch2_tmc_ncn_20220112T1300186367_d_img_d32/geometry/calibrated/20220112/ch2_tmc_ncn_20220112T1300186367_g_grd_d32.csv,12000,90148,4000,277233,uint8,uint16,0.25,4.47,17.88,89,9430,0.082913,Southern_40E,pair_003
ch2_ohr_ncp_20200825T1322594314_d_img_d18,ch2_tmc_ncn_20220112T1458093645_d_img_d32,dataset/pradan_downloads/ohrc/ch2_ohr_ncp_20200825T1322594314_d_img_d18/data/calibrated/20200825/ch2_ohr_ncp_20200825T1322594314_d_img_d18.img,dataset/pradan_downloads/tmc-2/ch2_tmc_ncn_20220112T1458093645_d_img_d32/data/calibrated/20220112/ch2_tmc_ncn_20220112T1458093645_d_img_d32.img,dataset/pradan_downloads/ohrc/ch2_ohr_ncp_20200825T1322594314_d_img_d18/geometry/calibrated/20200825/ch2_ohr_ncp_20200825T1322594314_g_grd_d18.csv,dataset/pradan_downloads/tmc-2/ch2_tmc_ncn_20220112T1458093645_d_img_d32/geometry/calibrated/20220112/ch2_tmc_ncn_20220112T1458093645_g_grd_d32.csv,12000,90148,4000,276918,uint8,uint16,0.25,4.46,17.84,426,9430,0.083003,Southern_40E,pair_004
ch2_ohr_ncp_20200825T1716291272_d_img_d18,ch2_tmc_ncn_20220112T1458093645_d_img_d32,dataset/pradan_downloads/ohrc/ch2_ohr_ncp_20200825T1716291272_d_img_d18/data/calibrated/20200825/ch2_ohr_ncp_20200825T1716291272_d_img_d18.img,dataset/pradan_downloads/tmc-2/ch2_tmc_ncn_20220112T1458093645_d_img_d32/data/calibrated/20220112/ch2_tmc_ncn_20220112T1458093645_d_img_d32.img,dataset/pradan_downloads/ohrc/ch2_ohr_ncp_20200825T1716291272_d_img_d18/geometry/calibrated/20200825/ch2_ohr_ncp_20200825T1716291272_g_grd_d18.csv,dataset/pradan_downloads/tmc-2/ch2_tmc_ncn_20220112T1458093645_d_img_d32/geometry/calibrated/20220112/ch2_tmc_ncn_20220112T1458093645_g_grd_d32.csv,12000,93693,4000,276918,uint8,uint16,0.25,4.46,17.84,500,9430,0.083003,Southern_40E,pair_005
ch2_ohr_ncp_20200825T1716291272_d_img_d18,ch2_tmc_ncn_20220112T1300186367_d_img_d32,dataset/pradan_downloads/ohrc/ch2_ohr_ncp_20200825T1716291272_d_img_d18/data/calibrated/20200825/ch2_ohr_ncp_20200825T1716291272_d_img_d18.img,dataset/pradan_downloads/tmc-2/ch2_tmc_ncn_20220112T1300186367_d_img_d32/data/calibrated/20220112/ch2_tmc_ncn_20220112T1300186367_d_img_d32.img,dataset/pradan_downloads/ohrc/ch2_ohr_ncp_20200825T1716291272_d_img_d18/geometry/calibrated/20200825/ch2_ohr_ncp_20200825T1716291272_g_grd_d18.csv,dataset/pradan_downloads/tmc-2/ch2_tmc_ncn_20220112T1300186367_d_img_d32/geometry/calibrated/20220112/ch2_tmc_ncn_20220112T1300186367_g_grd_d32.csv,12000,93693,4000,277233,uint8,uint16,0.25,4.47,17.88,166,9424,0.08286,Southern_40E,pair_006
ch2_ohr_ncp_20200825T1521048453_d_img_d18,ch2_tmc_ncn_20220112T1300186367_d_img_d32,dataset/pradan_downloads/ohrc/ch2_ohr_ncp_20200825T1521048453_d_img_d18/data/calibrated/20200825/ch2_ohr_ncp_20200825T1521048453_d_img_d18.img,dataset/pradan_downloads/tmc-2/ch2_tmc_ncn_20220112T1300186367_d_img_d32/data/calibrated/20220112/ch2_tmc_ncn_20220112T1300186367_d_img_d32.img,dataset/pradan_downloads/ohrc/ch2_ohr_ncp_20200825T1521048453_d_img_d18/geometry/calibrated/20200825/ch2_ohr_ncp_20200825T1521048453_g_grd_d18.csv,dataset/pradan_downloads/tmc-2/ch2_tmc_ncn_20220112T1300186367_d_img_d32/geometry/calibrated/20220112/ch2_tmc_ncn_20220112T1300186367_g_grd_d32.csv,12000,93692,4000,277233,uint8,uint16,0.25,4.47,17.88,0,8261,0.072634,South_Polar_41E,pair_007
ch2_ohr_ncp_20200825T1127278043_d_img_d18,ch2_tmc_ncn_20220112T1300186367_d_img_d32,dataset/pradan_downloads/ohrc/ch2_ohr_ncp_20200825T1127278043_d_img_d18/data/calibrated/20200825/ch2_ohr_ncp_20200825T1127278043_d_img_d18.img,dataset/pradan_downloads/tmc-2/ch2_tmc_ncn_20220112T1300186367_d_img_d32/data/calibrated/20220112/ch2_tmc_ncn_20220112T1300186367_d_img_d32.img,dataset/pradan_downloads/ohrc/ch2_ohr_ncp_20200825T1127278043_d_img_d18/geometry/calibrated/20200825/ch2_ohr_ncp_20200825T1127278043_g_grd_d18.csv,dataset/pradan_downloads/tmc-2/ch2_tmc_ncn_20220112T1300186367_d_img_d32/geometry/calibrated/20220112/ch2_tmc_ncn_20220112T1300186367_g_grd_d32.csv,12000,93693,4000,277233,uint8,uint16,0.25,4.47,17.88,0,7884,0.06932,South_Polar_41E,pair_008
ch2_ohr_ncp_20200229T0938004033_d_img_d32,ch2_tmc_ncn_20220112T1102281958_d_img_d32,dataset/pradan_downloads/ohrc/ch2_ohr_ncp_20200229T0938004033_d_img_d32/data/calibrated/20200229/ch2_ohr_ncp_20200229T0938004033_d_img_d32.img,dataset/pradan_downloads/tmc-2/ch2_tmc_ncn_20220112T1102281958_d_img_d32/data/calibrated/20220112/ch2_tmc_ncn_20220112T1102281958_d_img_d32.img,dataset/pradan_downloads/ohrc/ch2_ohr_ncp_20200229T0938004033_d_img_d32/geometry/calibrated/20200229/ch2_ohr_ncp_20200229T0938004033_g_grd_d32.csv,dataset/pradan_downloads/tmc-2/ch2_tmc_ncn_20220112T1102281958_d_img_d32/geometry/calibrated/20220112/ch2_tmc_ncn_20220112T1102281958_g_grd_d32.csv,12000,93693,4000,276917,uint8,uint16,0.23,4.48,19.48,0,4766,0.04195,South_Polar_43E,pair_009
ch2_ohr_ncp_20200825T1716291272_d_img_d18,ch2_tmc_ncn_20220112T1102281958_d_img_d32,dataset/pradan_downloads/ohrc/ch2_ohr_ncp_20200825T1716291272_d_img_d18/data/calibrated/20200825/ch2_ohr_ncp_20200825T1716291272_d_img_d18.img,dataset/pradan_downloads/tmc-2/ch2_tmc_ncn_20220112T1102281958_d_img_d32/data/calibrated/20220112/ch2_tmc_ncn_20220112T1102281958_d_img_d32.img,dataset/pradan_downloads/ohrc/ch2_ohr_ncp_20200825T1716291272_d_img_d18/geometry/calibrated/20200825/ch2_ohr_ncp_20200825T1716291272_g_grd_d18.csv,dataset/pradan_downloads/tmc-2/ch2_tmc_ncn_20220112T1102281958_d_img_d32/geometry/calibrated/20220112/ch2_tmc_ncn_20220112T1102281958_g_grd_d32.csv,12000,93693,4000,276917,uint8,uint16,0.25,4.48,17.92,0,3991,0.035129,Southern_40E,pair_010
