target_id,crater_id,crater_latitude,crater_longitude,crater_diameter_km,ohrc_product,tmc2_product
target_001,10-2-000030,-64.0452,39.614,80.3487,ch2_ohr_ncp_20200825T1716291272_d_img_d18,ch2_tmc_ncn_20211113T1650236492_d_img_d18
target_002,07-1-000685,-15.6054,71.0637,42.2634,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20220518T1459006639_d_img_d18
target_003,07-1-051365,-14.6166,70.5583,12.6867,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20210514T0803114100_d_img_d18
target_004,10-1-052597,-74.3335,43.3806,6.27463,ch2_ohr_ncp_20200229T0739312111_d_img_d18,
target_005,10-1-023980,-66.4669,31.6559,5.02515,ch2_ohr_ncp_20200826T0853204550_d_img_d18,ch2_tmc_ncn_20211113T1650236492_d_img_d18
target_006,10-1-037413,-68.677,41.3212,4.63088,ch2_ohr_ncp_20200825T1521048453_d_img_d18,ch2_tmc_ncn_20220112T1458093645_d_img_d32
target_007,10-1-023072,-68.7358,341.228,3.786,ch2_ohr_ncp_20210405T0442095110_d_img_d32,ch2_tmc_ncn_20210528T2116056144_d_img_d18
target_008,10-1-169411,-69.0963,341.391,3.77193,ch2_ohr_ncp_20210405T0442095110_d_img_d18,ch2_tmc_ncn_20220129T0541079533_d_img_d18
target_009,10-1-023703,-68.2591,20.9083,3.39517,ch2_ohr_ncp_20200827T0030107497_d_img_d18,ch2_tmc_ncn_20220114T1405515898_d_img_d32
target_010,10-1-052599,-73.8752,42.8516,2.97005,ch2_ohr_ncp_20200229T0938004033_d_img_d32,ch2_tmc_ncn_20210528T2116056144_d_img_d18
target_011,10-1-037934,-61.9919,56.6431,2.90111,ch2_ohr_ncp_20200824T1003365280_d_img_d18,ch2_tmc_ncn_20220111T1721503392_d_img_d32
target_012,10-1-052595,-74.1431,43.8388,2.89442,ch2_ohr_ncp_20200229T0739312111_d_img_d18,ch2_tmc_ncn_20220112T1300186367_d_img_d32
target_013,10-1-037394,-69.0006,41.1377,2.87385,ch2_ohr_ncp_20200825T1521048453_d_img_d18,ch2_tmc_ncn_20220112T1102281958_d_img_d32
target_014,10-1-037346,-69.1277,41.3675,2.34695,ch2_ohr_ncp_20200825T1127278043_d_img_d18,ch2_tmc_ncn_20210528T2116056144_d_img_d18
target_015,10-1-038314,-62.371,56.7368,2.28546,ch2_ohr_ncp_20200824T1003365280_d_img_d18,ch2_tmc_ncn_20220126T0302597871_d_img_d18
target_016,10-1-019446,-66.0864,31.5804,2.13609,ch2_ohr_ncp_20200826T0853204550_d_img_d18,ch2_tmc_ncn_20220127T0434599637_d_img_d18
target_017,10-1-023135,-68.9062,341.31,2.07352,ch2_ohr_ncp_20210405T0442095110_d_img_d32,ch2_tmc_ncn_20220116T1511446554_d_img_d32
target_018,10-2-000030,-64.0452,39.614,80.3487,ch2_ohr_ncp_20200825T1716291272_d_img_d18,ch2_tmc_ncn_20220127T0039185733_d_img_d18
target_019,10-2-000030,-64.0452,39.614,80.3487,ch2_ohr_ncp_20200825T1322594314_d_img_d18,ch2_tmc_ncn_20220112T1458093645_d_img_d32
target_020,10-2-000030,-64.0452,39.614,80.3487,ch2_ohr_ncp_20200825T1322594314_d_img_d18,ch2_tmc_ncn_20210528T2116056144_d_img_d18
target_021,10-1-037413,-68.677,41.3212,4.63088,ch2_ohr_ncp_20200825T1127278043_d_img_d18,ch2_tmc_ncn_20220114T1405515898_d_img_d32
target_022,10-1-023072,-68.7358,341.228,3.786,ch2_ohr_ncp_20210405T0442095110_d_img_d18,ch2_tmc_ncn_20220130T0119401196_d_img_d18
target_023,10-1-169411,-69.0963,341.391,3.77193,ch2_ohr_ncp_20210405T0640233469_d_img_d18,ch2_tmc_ncn_20220130T0515221440_d_img_d18
target_024,10-1-169411,-69.0963,341.391,3.77193,ch2_ohr_ncp_20210405T0640233469_d_img_d18,ch2_tmc_ncn_20220130T0713123542_d_img_d18
target_025,10-1-023703,-68.2591,20.9083,3.39517,ch2_ohr_ncp_20200827T0226453039_d_img_d18,ch2_tmc_ncn_20220129T0541079533_d_img_d18
target_026,10-1-023703,-68.2591,20.9083,3.39517,ch2_ohr_ncp_20200827T0030107497_d_img_d18,ch2_tmc_ncn_20220128T0409055907_d_img_d18
target_027,10-1-023703,-68.2591,20.9083,3.39517,ch2_ohr_ncp_20200827T0226453039_d_img_d18,ch2_tmc_ncn_20220127T2215296303_d_img_d18
target_028,10-1-052599,-73.8752,42.8516,2.97005,ch2_ohr_ncp_20200229T0938004033_d_img_d32,ch2_tmc_ncn_20220127T0237112157_d_img_d18
target_029,10-1-037934,-61.9919,56.6431,2.90111,ch2_ohr_ncp_20200824T0806596861_d_img_d18,ch2_tmc_ncn_20220128T0409055907_d_img_d18
target_030,10-1-037934,-61.9919,56.6431,2.90111,ch2_ohr_ncp_20200824T0806596861_d_img_d18,ch2_tmc_ncn_20220126T2241288791_d_img_d18
